short999fct short99fct short95fct shortavgfct shortmedfct incast999fct incast99fct incast95fct incastavgfct incastmedfct long999fct long99fct long95fct longavgfct longmedfct avgTh medTh bufmax buf999 buf99 buf95 avgBuf medBuf load burst alg tcp scenario nprio
35.9156 19.0078 13.0467 4.066725288659794 2.345795 8961.57 7866.08 5684.99 1042.8211265969999 4.610329999999999 0 0 0 0 0 38.82324436084721 48.4 99.9969 99.7844 78.9574 55.3269 8.491648437183944 0.0 0.4 0.3 103 1 bufrate_5 2
89.315 22.5726 15.3816 5.957305035161744 3.52297 8107.44 6441.22 4806.54 718.2256000171876 6.4525749999999995 0 0 0 0 0 66.41032201800836 65.4187 99.9987 99.9463 97.8121 84.6428 29.66718620223584 22.2552 0.6 0.3 103 1 bufrate_1 2
124.086 38.9046 20.1179 7.650136265060242 4.47722 8482.19 7407.81 5349.17 901.1415680385637 7.064465 0 0 0 0 0 66.48584752260845 61.5467 99.9998 99.9755 99.2392 86.8917 30.19883342352647 21.2792 0.6 0.3 103 1 bufrate_2 2
43.0071 24.0747 17.9971 6.721779196366178 4.22511 8751.21 7790.17 6061.97 1179.3147555522344 8.303985 0 0 0 0 0 67.20116102838456 65.936 99.9988 99.9551 98.9518 89.5065 32.06911735292906 24.2821 0.6 0.3 103 1 bufrate_5 2
166.504 125.775 26.2648 12.527270753205128 8.8061 9192.53 7491.92 5264.43 1099.4890974432856 109.964 0 0 0 0 0 80.45742277352947 84.3147 99.9998 99.9844 99.8563 96.4498 52.5250214050199 56.7691 0.8 0.3 103 1 bufrate_1 2
128.278 45.4746 22.3519 9.73460270197967 7.63944 8839.67 8132.71 6031.72 1110.0095402550287 12.4108 0 0 0 0 0 84.41442105204504 89.2693 99.9979 99.9631 99.6255 94.2518 47.44341444381988 50.9657 0.8 0.3 103 1 bufrate_2 2
158.222 91.7662 23.5164 10.689698131524008 8.127505 8888.63 7772.6 5755.21 1095.5905285805995 12.4195 0 0 0 0 0 85.59869214193286 90.7253 99.9981 99.9582 99.0551 89.2457 42.913420073256866 44.6741 0.8 0.3 103 1 bufrate_5 2
127.479 20.3868 8.82719 3.7282922967479672 1.8646099999999999 8547.39 7609.88 5013.13 918.9311665648149 4.55958 0 0 0 0 0 37.32963680117203 48.4 50.1655 47.5697 38.1801 29.353 5.675493280268405 0.0 0.4 0.3 104 1 bufrate_1 2
106.533 11.8837 6.99226 3.1918002056277057 1.7109 8656.64 7879.74 6480.07 1267.3984277523364 4.55836 0 0 0 0 0 37.2968328203424 48.128 50.066 39.4929 33.1805 25.5656 4.64354847101742 0.0 0.4 0.3 104 1 bufrate_2 2
127.421 10.1505 7.83187 3.5892659484536087 2.241825 8961.01 7868.84 5685.0 1044.4187773465 4.57727 0 0 0 0 0 38.847480469765394 48.4 50.0222 45.0196 33.8103 26.4243 4.41138343299966 0.0 0.4 0.3 104 1 bufrate_5 2
127.21 81.6576 10.2446 5.3650146483825605 3.04439 8107.61 6439.68 4806.07 730.361231334375 4.582084999999999 0 0 0 0 0 66.1487971857057 63.76 49.9867 48.6875 44.1868 34.6372 10.608099760057003 5.863 0.6 0.3 104 1 bufrate_1 2
125.38 47.7501 12.8369 5.862243692416726 3.64562 8468.03 7400.1 5347.24 904.3030638916225 5.0983 0 0 0 0 0 66.18199818116362 61.6213 50.4395 49.5665 43.5885 34.0377 10.256076900854016 5.82683 0.6 0.3 104 1 bufrate_2 2
137.667 18.805 11.3551 5.384366247379456 3.38631 8751.07 7790.29 6057.7 1180.6689526588166 5.57292 0 0 0 0 0 66.99855426579731 65.7227 51.0263 49.7206 43.9893 34.71 10.854116364677692 6.16003 0.6 0.3 104 1 bufrate_5 2
